,,,,,
Date,Tournament,Category,Round,Prize,Result
06/05/2019,World Championships,WC,Final,"œ200,000",winner 
07/04/2019,China Open,R,Last 64,"œ5,000",loss
10/03/2019,Players Championship,R,Quarter Final,"œ15,000",loss
03/03/2019,Indian Open,R,Semi Final,"œ15,000",loss
09/12/2018,UK Championship,UK,Last 64,"œ5,000",winner 
18/11/2018,Northern Ireland Open,R,Last 128,Unknown,winner 
11/11/2018,Champion of Champions,U,Quarter Final,"œ17,500",loss
07/05/2018,World Championships,WC,Final,"œ180,000",loss
08/04/2018,China Open,R,Last 32,"œ6,500",loss
25/03/2018,Players Championship,R,Last 16,"œ10,000",winner 
18/03/2018,Romanian Masters,U,Quarter Final,Unknown,winner 
04/03/2018,Welsh Open,R,Winner,"œ70,000",winner 
25/02/2018,World Grand Prix,R,Last 16,"œ7,500",winner 
21/01/2018,Masters,U,Semi Final,"œ50,000",loss
17/12/2017,Scottish Open,R,Semi Final,"œ20,000",loss
10/12/2017,UK Championship,UK,Last 16,"œ15,000",loss
22/08/2017,China Championship,R,Last 32,"œ7,000",winner 
23/07/2017,Hong Kong Masters,U,Quarter Final,"œ22,500",loss
01/05/2017,World Championships,WC,Final,"œ160,000",loss
02/04/2017,China Open,R,Last 16,"œ8,000",loss
12/03/2017,Players Championship,PTF,Last 16,"œ10,000",winner 
05/03/2017,Gibraltar Open,R,Last 64,? 700,winner 
19/02/2017,Welsh Open,R,Last 128,œ0,winner 
12/02/2017,World Grand Prix,R,Last 32,"œ5,000",winner 
05/02/2017,German Masters,R,Last 64,"? 2,000",loss
22/01/2017,Masters,U,Last 16,"œ12,500",
31/07/2016,World Open,R,Quarter Final,"œ12,500",winner 
24/06/2016,Riga Masters,R,Last 16,"? 3,000",loss
02/05/2016,World Championships,WC,Quarter Final,"œ33,000",loss
03/04/2016,China Open,RN,Semi Final,"œ21,000",winner 
13/03/2016,World Grand Prix,R,Last 16,"œ5,000",winner 
28/02/2016,Gdynia Open,PTC,Last 64,? 700,winner 
